RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,SIZE_numeric,FOCUS_numeric,RES_numeric,STATUS_numeric,Region_Africa,Region_Americas,Region_Asia,Region_Europe,Region_Oceania
1.0,1.0,Massachusetts Institute of Technology (MIT) ,United States,Americas,M,CO,VH,B,100.0,4.0,100.0,2.0,100.0,11.0,100.0,9.0,99.3,100.0,86.8,143.0,96.0,58.0,100.0,8.0,99.0,,2,0.0,4,,False,True,False,False,False
2.0,6.0,Imperial College London,United Kingdom,Europe,L,FC,VH,A,98.5,22.0,99.5,11.0,98.2,45.0,93.9,54.0,100.0,66.0,99.6,44.0,97.4,34.0,93.4,61.0,99.7,6.0,3,,4,,False,False,False,True,False
3.0,3.0,University of Oxford,United Kingdom,Europe,L,FC,VH,A,100.0,2.0,100.0,5.0,100.0,8.0,84.8,93.0,98.1,120.0,97.7,73.0,100.0,1.0,100.0,3.0,85.0,126.0,3,,4,,False,False,False,True,False
4.0,4.0,Harvard University,United States,Americas,L,FC,VH,B,100.0,1.0,100.0,1.0,96.3,53.0,100.0,1.0,74.1,269.0,69.0,215.0,99.6,5.0,100.0,1.0,84.4,130.0,3,,4,,False,True,False,False,False
5.0,2.0,University of Cambridge,United Kingdom,Europe,L,FC,VH,A,100.0,3.0,100.0,4.0,100.0,17.0,84.6,96.0,100.0,73.0,94.8,98.0,99.3,10.0,100.0,5.0,84.8,,3,,4,,False,False,False,True,False
6.0,5.0,Stanford University,United States,Americas,L,FC,VH,B,100.0,5.0,100.0,3.0,100.0,12.0,99.0,27.0,70.3,284.0,60.8,244.0,96.8,45.0,100.0,2.0,81.2,,3,,4,,False,True,False,False,False
7.0,7.0,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Europe,L,FO,VH,A,98.8,19.0,87.2,57.0,65.9,199.0,97.9,35.0,100.0,25.0,98.6,63.0,95.7,64.0,90.5,73.0,98.8,18.0,3,1.0,4,,False,False,False,True,False
8.0,8.0,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,A,99.5,15.0,91.1,48.0,68.8,189.0,93.1,61.0,100.0,41.0,88.9,129.0,91.6,146.0,100.0,6.0,97.7,,4,,4,,False,False,True,False,False
9.0,9.0,UCL,United Kingdom,Europe,XL,FC,VH,A,99.5,14.0,98.3,18.0,95.9,56.0,72.2,145.0,99.0,106.0,100.0,21.0,99.9,2.0,70.3,157.0,74.8,,4,,4,,False,False,False,True,False
10.0,15.0,California Institute of Technology (Caltech),United States,Americas,S,CO,VH,B,96.5,29.0,95.3,33.0,100.0,4.0,100.0,5.0,100.0,65.0,79.8,172.0,65.5,549.0,31.0,407.0,62.5,253.0,1,0.0,4,,False,True,False,False,False
11.0,12.0,University of Pennsylvania,United States,Americas,L,FC,VH,B,96.3,31.0,91.9,45.0,99.8,28.0,74.0,138.0,90.9,188.0,66.2,226.0,91.9,137.0,100.0,7.0,93.0,71.0,3,,4,,False,True,False,False,False
12.0,10.0,"University of California, Berkeley (UCB)",United States,Americas,XL,FC,VH,A,100.0,6.0,100.0,6.0,23.5,615.0,98.2,33.0,91.5,182.0,61.0,242.0,97.2,39.0,98.4,23.0,100.0,2.0,4,,4,,False,True,False,False,False
13.0,14.0,The University of Melbourne,Australia,Oceania,XL,FC,VH,A,98.5,21.0,93.9,39.0,15.4,701.0,93.0,62.0,95.1,148.0,99.8,39.0,97.4,33.0,96.5,39.0,99.6,9.0,4,,4,,False,False,False,False,True
14.0,17.0,Peking University,China (Mainland),Asia,XL,FC,VH,A,99.5,13.0,96.6,28.0,92.6,75.0,97.7,40.0,50.3,365.0,23.6,497.0,79.8,329.0,94.2,56.0,46.9,,4,,4,,False,False,True,False,False
15.0,26.0,"Nanyang Technological University, Singapore (NTU)",Singapore,Asia,L,FC,VH,A,91.9,42.0,73.3,92.0,80.6,130.0,92.4,66.0,100.0,42.0,83.5,160.0,89.4,178.0,83.9,104.0,95.6,,3,,4,,False,False,True,False,False
16.0,13.0,Cornell University,United States,Americas,L,FC,VH,B,98.3,25.0,93.1,42.0,52.7,289.0,97.5,43.0,54.2,347.0,63.4,237.0,94.0,99.0,97.1,34.0,72.1,,3,,4,,False,True,False,False,False
17.0,26.0,The University of Hong Kong,Hong Kong SAR,Asia,L,FC,VH,A,97.4,27.0,59.4,135.0,81.2,124.0,86.4,89.0,100.0,33.0,99.3,52.0,81.4,300.0,99.7,14.0,89.2,,3,,4,,False,False,True,False,False
18.0,19.0,The University of Sydney,Australia,Oceania,XL,FC,VH,A,96.4,30.0,90.0,51.0,10.9,701.0,93.7,56.0,99.9,87.0,100.0,17.0,95.8,61.0,93.1,63.0,99.6,7.0,4,,4,,False,False,False,False,True
19.0,19.0,The University of New South Wales (UNSW Sydney),Australia,Oceania,XL,FC,VH,A,90.5,43.0,90.4,50.0,20.6,660.0,94.9,49.0,100.0,57.0,99.4,48.0,98.3,20.0,97.7,29.0,99.2,,4,,4,,False,False,False,False,True
20.0,25.0,Tsinghua University,China (Mainland),Asia,XL,FC,VH,A,99.2,16.0,97.7,22.0,95.0,62.0,99.1,26.0,18.1,623.0,13.4,654.0,79.2,337.0,92.3,68.0,40.4,,4,,4,,False,False,True,False,False
21.0,11.0,University of Chicago,United States,Americas,L,FC,VH,B,99.1,17.0,96.4,29.0,94.2,69.0,60.8,197.0,79.0,244.0,87.0,140.0,85.1,245.0,99.1,16.0,46.9,,3,,4,,False,True,False,False,False
22.0,17.0,Princeton University,United States,Americas,M,CO,VH,B,99.8,10.0,98.3,19.0,57.0,258.0,100.0,3.0,9.6,701.0,56.6,264.0,78.3,354.0,95.7,48.0,51.5,312.0,2,0.0,4,,False,True,False,False,False
23.0,16.0,Yale University,United States,Americas,L,FC,VH,B,99.9,9.0,99.9,7.0,100.0,3.0,38.6,363.0,91.5,181.0,63.3,238.0,93.9,100.0,98.5,21.0,92.2,,3,,4,,False,True,False,False,False
24.0,24.0,Université PSL,France,Europe,L,CO,VH,A,74.4,81.0,97.6,23.0,98.1,46.0,87.6,85.0,62.3,315.0,65.0,230.0,99.8,3.0,97.1,33.0,73.4,197.0,3,0.0,4,,False,False,False,True,False
25.0,21.0,University of Toronto,Canada,Americas,XL,FC,VH,A,99.7,11.0,96.9,27.0,44.9,344.0,50.8,257.0,96.9,132.0,96.1,90.0,97.7,29.0,98.7,19.0,100.0,1.0,4,,4,,False,True,False,False,False
26.0,36.0,EPFL,Switzerland,Europe,M,FO,VH,A,84.2,56.0,67.2,111.0,91.2,80.0,93.6,57.0,100.0,28.0,100.0,14.0,81.7,291.0,27.2,440.0,86.7,,2,1.0,4,,False,False,False,True,False
27.0,22.0,The University of Edinburgh,United Kingdom,Europe,XL,FC,VH,A,98.3,24.0,97.2,24.0,65.5,201.0,47.7,282.0,98.7,111.0,99.8,41.0,99.5,7.0,55.9,222.0,99.0,,4,,4,,False,False,False,True,False
28.0,37.0,Technical University of Munich,Germany,Europe,XL,FO,VH,A,83.0,61.0,98.6,17.0,76.8,155.0,75.9,133.0,80.4,236.0,98.6,64.0,95.6,68.0,34.5,365.0,93.1,70.0,4,1.0,4,,False,False,False,True,False
29.0,30.0,McGill University,Canada,Americas,L,FC,VH,A,94.3,34.0,87.6,56.0,62.3,224.0,57.9,212.0,83.7,225.0,89.6,124.0,94.2,94.0,98.3,24.0,99.1,13.0,3,,4,,False,True,False,False,False
30.0,34.0,The Australian National University,Australia,Oceania,L,FC,VH,A,93.8,36.0,75.4,85.0,34.6,457.0,84.6,97.0,100.0,52.0,96.2,89.0,91.4,151.0,56.6,216.0,97.1,,3,,4,,False,False,False,False,True
31.0,41.0,Seoul National University,South Korea,Asia,L,FC,VH,A,98.5,20.0,98.6,16.0,83.1,117.0,71.7,151.0,10.5,701.0,16.9,586.0,73.2,435.0,100.0,4.0,96.0,,3,,4,,False,False,True,False,False
32.0,28.0,Johns Hopkins University,United States,Americas,L,FC,VH,B,86.0,53.0,62.6,129.0,100.0,7.0,84.2,99.0,63.7,307.0,95.8,92.0,98.7,15.0,71.5,152.0,61.9,,3,,4,,False,True,False,False,False
32.0,28.0,The University of Tokyo,Japan,Asia,L,FC,VH,A,100.0,7.0,99.8,9.0,89.3,89.0,57.3,215.0,10.1,701.0,29.7,432.0,87.4,207.0,99.9,10.0,98.3,22.0,3,,4,,False,False,True,False,False
34.0,23.0,Columbia University,United States,Americas,XL,FC,VH,B,99.6,12.0,98.8,15.0,100.0,16.0,31.7,417.0,41.5,413.0,97.0,79.0,98.5,19.0,99.9,9.0,71.8,,4,,4,,False,True,False,False,False
34.0,32.0,The University of Manchester,United Kingdom,Europe,XL,FC,VH,A,95.6,33.0,98.1,20.0,51.3,297.0,45.1,307.0,93.1,169.0,99.2,55.0,99.2,12.0,87.6,90.0,99.8,3.0,4,,4,,False,False,False,True,False
36.0,47.0,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,Asia,L,FC,VH,A,86.7,51.0,53.3,159.0,64.2,212.0,92.9,64.0,100.0,58.0,87.5,137.0,74.2,419.0,89.0,82.0,86.7,,3,,4,,False,False,True,False,False
37.0,42.0,Monash University,Australia,Oceania,XL,FC,VH,A,89.2,47.0,79.6,78.0,9.4,701.0,87.6,84.0,100.0,59.0,100.0,24.0,94.8,81.0,79.4,126.0,98.2,23.0,4,,4,,False,False,False,False,True
38.0,34.0,University of British Columbia,Canada,Americas,XL,FC,VH,A,98.3,23.0,94.3,36.0,34.5,459.0,57.7,214.0,95.5,142.0,72.8,200.0,96.2,53.0,74.6,141.0,99.8,4.0,4,,4,,False,True,False,False,False
39.0,50.0,Fudan University,China (Mainland),Asia,XL,FC,VH,A,85.7,54.0,87.8,55.0,79.7,140.0,80.7,107.0,88.4,201.0,35.1,390.0,67.2,519.0,64.4,183.0,82.7,142.0,4,,4,,False,False,True,False,False
40.0,40.0,King's College London,United Kingdom,Europe,XL,FC,VH,A,90.3,44.0,85.7,64.0,64.3,210.0,53.6,238.0,99.1,103.0,99.5,47.0,98.6,17.0,59.8,205.0,96.2,,4,,4,,False,False,False,True,False
40.0,43.0,The University of Queensland,Australia,Oceania,XL,FC,VH,A,86.7,50.0,74.0,89.0,21.2,653.0,90.2,75.0,100.0,54.0,100.0,23.0,96.7,47.0,56.7,214.0,96.7,36.0,4,,4,,False,False,False,False,True
42.0,29.0,"University of California, Los Angeles (UCLA)",United States,Americas,XL,FC,VH,A,100.0,8.0,99.8,8.0,35.4,448.0,74.0,137.0,42.2,407.0,22.3,515.0,95.5,69.0,94.7,53.0,67.1,,4,,4,,False,True,False,False,False
43.0,38.0,New York University (NYU),United States,Americas,XL,FC,VH,B,96.3,32.0,98.8,14.0,90.5,83.0,28.6,453.0,30.2,492.0,98.1,68.0,92.6,126.0,98.4,22.0,95.4,,4,,4,,False,True,False,False,False
44.0,33.0,University of Michigan-Ann Arbor,United States,Americas,XL,FC,VH,A,97.9,26.0,92.1,43.0,80.3,133.0,47.6,284.0,65.5,299.0,39.2,359.0,95.8,63.0,94.5,55.0,62.2,,4,,4,,False,True,False,False,False
45.0,51.0,Shanghai Jiao Tong University,China (Mainland),Asia,XL,FC,VH,A,84.0,57.0,86.3,62.0,58.6,251.0,99.6,17.0,23.1,558.0,19.6,553.0,73.7,424.0,73.5,144.0,80.3,154.0,4,,4,,False,False,True,False,False
46.0,38.0,Institut Polytechnique de Paris,France,Europe,M,CO,VH,A,44.7,189.0,99.6,10.0,95.9,55.0,86.1,92.0,99.1,104.0,98.0,71.0,89.6,173.0,97.7,31.0,54.8,,2,0.0,4,,False,False,False,True,False
47.0,60.0,The Hong Kong University of Science and Technology,Hong Kong SAR,Asia,M,FO,VH,A,81.1,68.0,50.3,179.0,56.7,261.0,99.7,16.0,100.0,22.0,95.4,94.0,46.7,701.0,65.4,180.0,77.6,,2,1.0,4,,False,False,True,False,False
47.0,44.0,Zhejiang University,China (Mainland),Asia,XL,FC,VH,A,75.3,79.0,95.4,32.0,54.7,277.0,99.5,19.0,95.0,149.0,15.9,608.0,91.8,138.0,55.5,224.0,30.7,,4,,4,,False,False,True,False,False
49.0,47.0,Delft University of Technology,Netherlands,Europe,L,CO,VH,A,74.4,82.0,83.0,66.0,39.4,396.0,79.7,110.0,100.0,69.0,91.4,117.0,93.7,105.0,54.8,227.0,99.1,14.0,3,0.0,4,,False,False,False,True,False
50.0,46.0,Kyoto University,Japan,Asia,L,FC,VH,A,98.8,18.0,99.0,13.0,94.2,68.0,39.3,357.0,15.9,653.0,19.0,566.0,85.7,236.0,72.8,147.0,85.2,,3,,4,,False,False,True,False,False
50.0,47.0,Northwestern University,United States,Americas,L,FC,VH,B,84.0,58.0,68.0,107.0,97.6,48.0,67.7,161.0,45.4,393.0,52.0,283.0,89.4,179.0,96.8,37.0,55.4,,3,,4,,False,True,False,False,False
50.0,45.0,The London School of Economics and Political Science (LSE),United Kingdom,Europe,L,SP,VH,A,67.2,101.0,97.0,26.0,35.1,452.0,69.4,158.0,100.0,40.0,100.0,12.0,81.2,305.0,99.6,15.0,91.3,85.0,3,,4,,False,False,False,True,False
53.0,56.0,KAIST - Korea Advanced Institute of Science & Technology,South Korea,Asia,M,CO,VH,A,87.7,48.0,91.0,49.0,60.2,238.0,96.2,46.0,21.1,587.0,10.9,701.0,46.8,701.0,63.3,187.0,60.3,268.0,2,0.0,4,,False,False,True,False,False
